iter	Passed	Remaining
763	1022	315
764	1024	314
765	1026	313
766	1027	311
767	1027	310
768	1028	309
769	1030	307
770	1032	306
771	1033	305
772	1033	303
773	1035	302
774	1036	300
775	1038	299
776	1038	298
777	1039	296
778	1040	295
779	1041	293
780	1042	292
781	1044	291
782	1045	289
783	1046	288
784	1048	287
785	1049	285
786	1050	284
787	1051	282
788	1053	281
789	1054	280
790	1055	278
791	1056	277
792	1056	275
793	1057	274
794	1058	273
795	1060	271
796	1061	270
797	1061	268
798	1062	267
799	1065	266
800	1066	265
801	1067	263
802	1068	262
803	1069	260
804	1070	259
805	1071	257
806	1072	256
807	1073	255
808	1073	253
809	1075	252
810	1076	250
811	1078	249
812	1079	248
813	1080	246
814	1081	245
815	1082	244
816	1083	242
817	1084	241
818	1085	239
819	1086	238
820	1088	237
821	1089	235
822	1090	234
823	1091	233
824	1092	231
825	1093	230
826	1094	229
827	1095	227
828	1096	226
829	1099	225
830	1101	223
831	1102	222
832	1103	221
833	1104	219
834	1105	218
835	1106	217
836	1108	215
837	1109	214
838	1110	213
839	1111	211
840	1112	210
841	1114	209
842	1115	207
843	1116	206
844	1117	204
845	1118	203
846	1119	202
847	1120	200
848	1121	199
849	1122	198
850	1123	196
851	1124	195
852	1125	193
853	1126	192
854	1128	191
855	1128	189
856	1129	188
857	1131	187
858	1132	185
859	1133	184
860	1134	183
861	1135	181
862	1136	180
863	1138	179
864	1139	177
865	1140	176
866	1141	175
867	1142	173
868	1143	172
869	1145	171
870	1146	169
871	1146	168
872	1148	167
873	1150	165
874	1151	164
875	1152	163
876	1154	161
877	1155	160
878	1156	159
879	1157	157
880	1158	156
881	1160	155
882	1162	153
883	1163	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1170	143
891	1171	141
892	1172	140
893	1173	139
894	1174	137
895	1175	136
896	1176	135
897	1178	133
898	1179	132
899	1181	131
900	1182	129
901	1184	128
902	1185	127
903	1186	126
904	1187	124
905	1188	123
906	1190	122
907	1191	120
908	1192	119
909	1194	118
910	1196	116
911	1197	115
912	1198	114
913	1199	112
914	1200	111
915	1201	110
916	1202	108
917	1203	107
918	1204	106
919	1205	104
920	1206	103
921	1207	102
922	1208	100
923	1210	99
924	1211	98
925	1212	96
926	1213	95
927	1214	94
928	1215	92
929	1217	91
930	1218	90
931	1220	89
932	1222	87
933	1223	86
934	1224	85
935	1225	83
936	1226	82
937	1228	81
938	1229	79
939	1230	78
940	1231	77
941	1232	75
942	1233	74
943	1235	73
944	1237	71
945	1238	70
946	1239	69
947	1241	68
948	1242	66
949	1242	65
950	1245	64
951	1247	62
952	1248	61
953	1249	60
954	1251	58
955	1252	57
956	1254	56
957	1255	55
958	1257	53
959	1258	52
960	1259	51
961	1260	49
962	1261	48
963	1262	47
964	1263	45
965	1265	44
966	1266	43
967	1267	41
968	1269	40
969	1270	39
970	1270	37
971	1271	36
972	1272	35
973	1274	34
974	1275	32
975	1275	31
976	1276	30
977	1277	28
978	1279	27
979	1281	26
980	1282	24
981	1283	23
982	1284	22
983	1285	20
984	1286	19
985	1287	18
986	1288	16
987	1289	15
988	1291	14
989	1293	13
990	1293	11
991	1295	10
992	1297	9
993	1298	7
994	1299	6
995	1300	5
996	1301	3
997	1302	2
998	1304	1
999	1305	0
